iter	Passed	Remaining
0	2	2021
1	3	1718
2	5	1770
3	6	1654
4	7	1572
5	9	1520
6	10	1475
7	13	1727
8	15	1733
9	17	1709
10	19	1761
11	21	1747
12	22	1740
13	24	1717
14	26	1711
15	28	1722
16	29	1717
17	31	1703
18	32	1685
19	34	1693
20	36	1682
21	37	1656
22	38	1643
23	39	1619
24	40	1598
25	42	1579
26	43	1559
27	44	1542
28	45	1526
29	46	1510
30	47	1496
31	49	1499
32	51	1495
33	52	1499
34	54	1493
35	55	1482
36	56	1472
37	57	1462
38	58	1451
39	60	1440
40	61	1429
41	62	1420
42	63	1423
43	65	1426
44	66	1418
45	68	1410
46	69	1401
47	70	1395
48	71	1388
49	72	1380
50	73	1373
51	75	1367
52	76	1360
53	79	1386
54	80	1382
55	82	1391
56	84	1395
57	86	1397
58	87	1390
59	88	1383
60	89	1377
61	90	1370
62	91	1364
63	94	1376
64	95	1371
65	96	1371
66	98	1368
67	99	1364
68	100	1362
69	102	1361
70	103	1359
71	105	1353
72	106	1349
73	108	1361
74	110	1358
75	111	1353
76	112	1347
77	113	1341
78	114	1336
79	115	1331
80	116	1325
81	117	1320
82	118	1309
83	119	1305
84	120	1302
85	124	1319
86	125	1316
87	126	1312
88	127	1307
89	128	1303
90	130	1299
91	131	1295
92	132	1291
93	133	1288
94	134	1284
95	136	1283
96	138	1286
97	139	1285
98	140	1280
99	141	1277
100	143	1274
101	144	1270
102	145	1266
103	146	1263
104	147	1259
105	148	1256
106	150	1253
107	151	1250
108	153	1252
109	154	1250
110	155	1247
111	156	1243
112	158	1240
113	159	1237
114	160	1234
115	161	1231
116	162	1226
117	163	1225
118	165	1222
119	166	1220
120	168	1222
121	169	1218
122	170	1215
123	171	1212
124	172	1208
125	173	1206
126	174	1201
127	175	1198
128	177	1197
129	178	1195
130	179	1192
131	180	1189
132	182	1188
133	183	1186
134	184	1184
135	186	1183
136	187	1181
137	188	1179
138	190	1177
139	191	1177
140	193	1178
141	194	1173
142	195	1171
143	197	1172
144	198	1171
145	199	1168
146	200	1166
147	202	1163
148	203	1160
149	204	1157
150	205	1155
151	206	1153
152	207	1151
153	209	1149
154	210	1147
155	212	1149
156	213	1147
157	214	1144
158	215	1142
159	217	1139
160	217	1135
161	219	1133
162	220	1131
163	221	1129
164	222	1126
165	223	1124
166	224	1121
167	226	1122
168	228	1121
169	229	1119
170	230	1116
171	231	1115
172	232	1112
173	234	1111
174	235	1108
175	236	1106
176	237	1104
177	238	1101
178	239	1099
179	241	1100
180	242	1098
181	244	1096
182	245	1094
183	246	1092
184	247	1091
185	248	1089
186	250	1087
187	251	1085
188	252	1082
189	253	1080
190	254	1079
191	256	1080
192	257	1078
193	259	1076
194	260	1074
195	261	1072
196	262	1070
197	263	1068
198	264	1066
199	266	1064
200	267	1062
201	268	1060
202	269	1058
203	271	1060
204	272	1058
205	274	1056
206	275	1055
207	276	1053
208	277	1051
209	279	1049
210	280	1047
211	281	1045
212	282	1043
213	283	1041
214	285	1041
215	286	1040
216	287	1038
217	289	1039
218	291	1038
219	292	1037
220	294	1037
221	295	1036
222	297	1035
223	298	1033
224	300	1035
225	302	1036
226	303	1034
227	304	1032
228	306	1030
229	307	1028
230	308	1026
231	309	1024
232	310	1022
233	311	1020
234	312	1018
235	314	1016
236	315	1016
237	317	1015
238	318	1014
239	319	1012
240	320	1010
241	321	1008
242	323	1006
243	324	1004
244	325	1002
245	326	1000
246	327	998
247	328	996
248	330	997
249	332	996
250	333	994
251	334	992
252	335	990
253	336	988
254	337	986
255	338	984
256	340	983
257	341	981
258	342	979
259	344	979
260	346	979
261	347	978
262	348	976
263	349	974
264	350	972
265	351	970
266	352	968
267	354	967
268	355	965
269	356	963
270	358	963
271	360	965
272	362	964
273	363	964
274	365	962
275	366	960
276	367	959
277	368	958
278	370	956
279	371	955
280	373	954
281	374	954
282	376	953
283	377	952
284	378	950
285	380	949
286	381	948
287	383	946
288	384	945
289	385	944
290	389	948
291	391	948
292	392	948
293	394	946
294	395	945
295	396	944
296	398	943
297	400	943
298	401	941
299	405	947
300	408	947
301	409	946
302	410	944
303	412	943
304	413	942
305	415	941
306	416	939
307	420	944
308	422	945
309	424	944
310	427	946
311	429	946
312	430	945
313	432	943
314	434	944
315	436	945
316	438	945
317	440	945
318	442	944
319	443	943
320	445	941
321	447	941
322	449	941
323	450	940
324	452	939
325	454	939
326	455	938
327	457	937
328	458	935
329	459	933
330	463	937
331	465	936
332	466	935
333	468	934
334	470	933
335	471	931
336	472	930
337	474	928
338	475	927
339	478	928
340	479	927
341	481	925
342	482	924
343	484	924
344	485	922
345	487	920
346	488	919
347	489	917
348	492	918
349	494	917
350	495	916
351	497	915
352	498	914
353	500	913
354	501	911
355	502	909
356	504	909
357	508	911
358	509	909
359	510	908
360	512	907
361	513	905
362	515	904
363	516	902
364	518	901
365	519	899
366	523	902
367	525	901
368	526	900
369	527	898
370	529	896
371	530	895
372	532	894
373	533	892
374	534	890
375	537	892
376	539	890
377	540	889
378	541	887
379	543	886
380	544	884
381	545	883
382	547	881
383	548	880
384	549	878
385	553	880
386	554	878
387	555	876
388	557	875
389	558	873
390	559	872
391	561	870
392	562	869
393	564	867
394	567	868
395	568	867
396	569	865
397	571	864
398	572	863
